subscription_id,opportunity_id,account,product,sales_agent,start_date,renewal_date,starting_arr,renewal_outcome,renewal_arr
SUB-00062,HEE6P0QH,Statholdings,MG Advanced,Anna Snelling,2017-03-25,2018-03-25,3647.0,Renewed Flat,3647.0
SUB-00063,L8CHRJ2B,Umbrella Corporation,MG Advanced,Cassey Cress,2017-03-01,2018-03-01,4200.0,Renewed Flat,4200.0
SUB-00064,V2X2KMUR,Faxquote,GTX Plus Basic,Kami Bicknell,2017-03-28,2018-03-28,1059.0,Renewed Flat,1059.0
SUB-00065,NYVA2G6U,Dontechi,MG Special,Versie Hillebrand,2017-03-02,2018-03-02,57.0,Churned,0.0
SUB-00066,FF45BXTL,Konex,MG Advanced,Vicki Laflamme,2017-03-27,2018-03-27,3671.0,Renewed Flat,3671.0
SUB-00067,TTA9LYBS,Treequote,MG Special,Anna Snelling,2017-03-01,2018-03-01,58.0,Renewed Flat,58.0
SUB-00068,PAGZQH8L,Treequote,MG Advanced,Cecily Lampkin,2017-03-06,2018-03-06,3956.0,Renewed Flat,3956.0
SUB-00069,J7YF6DS7,Betasoloin,GTX Plus Pro,Corliss Cosme,2017-03-01,2018-03-01,5964.0,Renewed Flat,5964.0
SUB-00070,S5IXY4Z9,Betasoloin,GTXPro,Corliss Cosme,2017-03-06,2018-03-06,4570.0,Renewed Flat,4570.0
SUB-00071,JQBJMETQ,Domzoom,MG Special,Darcel Schlecht,2017-03-27,2018-03-27,49.0,Renewed Flat,49.0
SUB-00072,0LVWSWEW,Donquadtech,MG Special,Violet Mclelland,2017-03-06,2018-03-06,65.0,Churned,0.0
SUB-00073,D40N5I9Y,Finhigh,GTXPro,Darcel Schlecht,2017-03-08,2018-03-08,4739.0,Renewed Flat,4739.0
SUB-00074,051QTX8Z,Globex Corporation,GTX Plus Basic,Niesha Huffines,2017-03-21,2018-03-21,1080.0,Renewed Flat,1080.0
SUB-00075,5D2XH04S,Plussunin,MG Special,Reed Clapper,2017-03-12,2018-03-12,57.0,Contraction,42.91
SUB-00076,V9E582SK,Konex,GTX Basic,Garret Kinder,2017-03-16,2018-03-16,469.0,Renewed Flat,469.0
SUB-00077,UK0LEZRJ,Condax,GTX Basic,Kary Hendrixson,2017-03-03,2018-03-03,532.0,Renewed Flat,532.0
SUB-00078,IT10CFQH,Konex,GTX Basic,Rosalina Dieter,2017-03-26,2018-03-26,538.0,Renewed Flat,538.0
SUB-00079,8VKD2CCH,Massive Dynamic,GTXPro,Rosie Papadopoulos,2017-03-21,2018-03-21,4829.0,Renewed Flat,4829.0
SUB-00080,2XQAKBXH,Doncon,GTX Plus Pro,Zane Levy,2017-03-11,2018-03-11,5370.0,Expansion,6587.1
SUB-00081,7G7YLGJO,Hatfan,GTX Plus Pro,Zane Levy,2017-03-21,2018-03-21,6499.0,Renewed Flat,6499.0
SUB-00082,GCA97W27,Genco Pura Olive Oil Company,GTX Plus Basic,Darcel Schlecht,2017-03-06,2018-03-06,1161.0,Renewed Flat,1161.0
SUB-00083,K8FUZHOG,Scotfind,GTX Basic,Kary Hendrixson,2017-03-26,2018-03-26,576.0,Contraction,437.03
SUB-00084,5WJZMULK,Hatfan,GTX Plus Basic,Maureen Marcano,2017-03-19,2018-03-19,979.0,Contraction,840.21
SUB-00085,ZPYD4T9W,Stanredtax,MG Special,Versie Hillebrand,2017-03-07,2018-03-07,43.0,Renewed Flat,43.0
SUB-00086,KE9ZEDS8,Scottech,MG Special,Gladys Colclough,2017-03-07,2018-03-07,57.0,Expansion,74.36
SUB-00087,FP7014Z0,Funholding,GTX Plus Basic,Lajuana Vencill,2017-03-12,2018-03-12,948.0,Renewed Flat,948.0
SUB-00088,N4HFHDMW,Plussunin,MG Advanced,Wilburn Farren,2017-03-10,2018-03-10,3012.0,Renewed Flat,3012.0
SUB-00089,2HFLKREC,Zotware,MG Advanced,Cassey Cress,2017-03-15,2018-03-15,3665.0,Renewed Flat,3665.0
SUB-00090,7JVTTVCO,Gekko & Co,GTX Basic,Violet Mclelland,2017-03-24,2018-03-24,564.0,Renewed Flat,564.0
SUB-00091,7LE19SYE,Initech,MG Advanced,Cassey Cress,2017-03-22,2018-03-22,3463.0,Renewed Flat,3463.0
SUB-00092,J5V2M7Y1,Gekko & Co,GTX Basic,Corliss Cosme,2017-03-26,2018-03-26,513.0,Renewed Flat,513.0
SUB-00093,41MURAI5,Konex,GTX Basic,Corliss Cosme,2017-03-28,2018-03-28,590.0,Contraction,509.03
SUB-00094,QHI8WRIA,Dontechi,GTXPro,Darcel Schlecht,2017-03-30,2018-03-28,4511.0,Renewed Flat,4511.0
SUB-00095,VPDXX5PJ,Cancity,GTX Basic,Niesha Huffines,2017-03-26,2018-03-26,546.0,Renewed Flat,546.0
SUB-00096,PZB9NUK8,Y-corporation,MG Special,Vicki Laflamme,2017-03-05,2018-03-05,46.0,Renewed Flat,46.0
SUB-00097,A0ANOYPF,Ron-tech,GTXPro,Darcel Schlecht,2017-03-09,2018-03-09,4891.0,Churned,0.0
SUB-00098,0P4AAPYX,Golddex,GTX Plus Basic,Hayden Neloms,2017-03-03,2018-03-03,1040.0,Churned,0.0
SUB-00099,O6T5WC3W,Sonron,GTX Plus Basic,Hayden Neloms,2017-03-04,2018-03-04,1108.0,Renewed Flat,1108.0
SUB-00100,0NO04P6C,Nam-zim,MG Special,Hayden Neloms,2017-03-04,2018-03-04,59.0,Renewed Flat,59.0
SUB-00101,22OFSXBT,Statholdings,GTXPro,Jonathan Berthelot,2017-03-30,2018-03-28,5406.0,Renewed Flat,5406.0
SUB-00102,MRXZTMM6,Cheers,GTX Basic,Kary Hendrixson,2017-03-20,2018-03-20,515.0,Renewed Flat,515.0
SUB-00103,LGI8QEC2,Treequote,GTX Basic,Moses Frase,2017-03-06,2018-03-06,583.0,Expansion,735.64
SUB-00104,6KZ0NCFX,Funholding,MG Special,Versie Hillebrand,2017-03-14,2018-03-14,54.0,Expansion,67.99
SUB-00105,3SF8O9S6,Plusstrip,MG Special,Vicki Laflamme,2017-03-27,2018-03-27,60.0,Renewed Flat,60.0
SUB-00106,BADC6A9H,Globex Corporation,GTX Basic,Darcel Schlecht,2017-03-23,2018-03-23,516.0,Renewed Flat,516.0
SUB-00107,B8E0UUZR,Rangreen,GTXPro,Darcel Schlecht,2017-03-22,2018-03-22,4829.0,Renewed Flat,4829.0
SUB-00108,MWWB44CC,Donquadtech,GTX Plus Basic,Reed Clapper,2017-03-02,2018-03-02,950.0,Churned,0.0
SUB-00109,DZ3KHZSX,Initech,GTX Basic,Corliss Cosme,2017-03-20,2018-03-20,513.0,Churned,0.0
SUB-00110,45A57X68,Ron-tech,GTX Plus Pro,Darcel Schlecht,2017-03-12,2018-03-12,5522.0,Expansion,6583.63
SUB-00111,9SLYC4TR,Cancity,MG Special,Gladys Colclough,2017-03-09,2018-03-09,56.0,Renewed Flat,56.0
SUB-00112,JLWKWQYC,Doncon,GTXPro,James Ascencio,2017-03-08,2018-03-08,5673.0,Churned,0.0
SUB-00113,7QC6FOKW,Xx-holding,GTX Basic,Kami Bicknell,2017-03-10,2018-03-10,598.0,Churned,0.0
SUB-00114,XA184CMW,Rangreen,GTX Plus Pro,Marty Freudenburg,2017-03-16,2018-03-16,5787.0,Renewed Flat,5787.0
SUB-00115,S0N7BYU3,Singletechno,GTX Plus Basic,Maureen Marcano,2017-03-08,2018-03-08,1070.0,Renewed Flat,1070.0
SUB-00116,6WOMHAJM,Donquadtech,MG Advanced,Boris Faz,2017-03-14,2018-03-14,3677.0,Renewed Flat,3677.0
SUB-00117,G1QGATKV,Ontomedia,GTX Plus Pro,Cassey Cress,2017-03-30,2018-03-28,5425.0,Expansion,7213.9
SUB-00118,6XFVQI32,Yearin,MG Advanced,Donn Cantrell,2017-03-23,2018-03-23,3415.0,Renewed Flat,3415.0
SUB-00119,OGD4MDJ9,Lexiqvolax,GTX Plus Basic,Maureen Marcano,2017-03-21,2018-03-21,891.0,Renewed Flat,891.0
SUB-00120,4NGBUZWJ,Codehow,GTX Basic,Lajuana Vencill,2017-03-12,2018-03-12,609.0,Renewed Flat,609.0
SUB-00121,EFG5DGV5,Plusstrip,MG Special,Markita Hansen,2017-03-16,2018-03-16,54.0,Renewed Flat,54.0
SUB-00122,82MM4H33,Labdrill,GTX Plus Basic,Zane Levy,2017-03-09,2018-03-09,1049.0,Churned,0.0
SUB-00123,14PM641K,Gekko & Co,GTX Plus Basic,Cassey Cress,2017-03-07,2018-03-07,1152.0,Renewed Flat,1152.0
SUB-00124,1YSOZLHF,Umbrella Corporation,GTXPro,Daniell Hammack,2017-03-28,2018-03-28,4799.0,Renewed Flat,4799.0
SUB-00125,E8RP9FRW,dambase,MG Special,Gladys Colclough,2017-03-12,2018-03-12,51.0,Renewed Flat,51.0
SUB-00126,787IRG9Q,J-Texon,MG Advanced,Hayden Neloms,2017-03-03,2018-03-03,3426.0,Expansion,3975.34
SUB-00127,0TUS4NAC,Rangreen,MG Special,Jonathan Berthelot,2017-03-11,2018-03-11,51.0,Renewed Flat,51.0
SUB-00128,FAJTQMUM,Finjob,GTX Basic,Kami Bicknell,2017-03-20,2018-03-20,564.0,Contraction,448.36
SUB-00129,TWF0J0DF,Isdom,GTX Plus Pro,Cecily Lampkin,2017-03-01,2018-03-01,5882.0,Renewed Flat,5882.0
SUB-00130,UQ14O415,Plussunin,GTXPro,Donn Cantrell,2017-03-20,2018-03-20,5059.0,Renewed Flat,5059.0
SUB-00131,BOJSLNDG,Singletechno,MG Advanced,Kami Bicknell,2017-03-11,2018-03-11,3388.0,Renewed Flat,3388.0
SUB-00132,DASMR0EK,Zoomit,GTX Plus Pro,Markita Hansen,2017-03-10,2018-03-10,5410.0,Renewed Flat,5410.0
SUB-00133,A76M0OOH,Zathunicon,GTX Plus Basic,Reed Clapper,2017-03-28,2018-03-28,978.0,Renewed Flat,978.0
SUB-00134,E1VKE2PH,Scotfind,MG Special,Vicki Laflamme,2017-03-26,2018-03-26,54.0,Renewed Flat,54.0
SUB-00135,V5OK4V5I,Bubba Gump,GTX Basic,Cassey Cress,2017-03-14,2018-03-14,549.0,Renewed Flat,549.0
SUB-00136,GJ4L5HHN,Mathtouch,GTX Plus Basic,Corliss Cosme,2017-03-14,2018-03-14,1034.0,Renewed Flat,1034.0
SUB-00137,9R8JWY3J,Vehement Capital Partners,GTXPro,Donn Cantrell,2017-03-03,2018-03-03,4998.0,Renewed Flat,4998.0
SUB-00138,0EOFVU05,Ontomedia,MG Advanced,Donn Cantrell,2017-03-28,2018-03-28,3421.0,Renewed Flat,3421.0
SUB-00139,HNHOPL7M,Doncon,GTX Plus Pro,Kary Hendrixson,2017-03-04,2018-03-04,5425.0,Renewed Flat,5425.0
SUB-00140,Y0NYI17R,Dalttechnology,MG Special,Vicki Laflamme,2017-03-15,2018-03-15,55.0,Churned,0.0
SUB-00141,R4F4RGAL,Silis,MG Advanced,Violet Mclelland,2017-03-14,2018-03-14,3558.0,Churned,0.0
SUB-00142,0ZHLQFGU,Blackzim,GTXPro,Kami Bicknell,2017-03-22,2018-03-22,4839.0,Renewed Flat,4839.0
SUB-00143,40DPY158,Hottechi,MG Special,Markita Hansen,2017-03-25,2018-03-25,47.0,Renewed Flat,47.0
SUB-00144,DP9E525R,Fasehatice,GTX Plus Basic,Maureen Marcano,2017-03-24,2018-03-24,1007.0,Renewed Flat,1007.0
SUB-00145,DBDUMQQK,Inity,MG Special,Niesha Huffines,2017-03-24,2018-03-24,48.0,Renewed Flat,48.0
SUB-00146,CNBN12RL,Treequote,MG Special,Versie Hillebrand,2017-03-07,2018-03-07,49.0,Renewed Flat,49.0
SUB-00147,OXL0YWEE,Mathtouch,GTX Basic,Violet Mclelland,2017-03-18,2018-03-18,504.0,Churned,0.0
SUB-00148,5CSSZJF4,Finhigh,GTX Basic,Jonathan Berthelot,2017-03-21,2018-03-21,543.0,Renewed Flat,543.0
SUB-00149,IIS0O91J,Fasehatice,GTXPro,Kary Hendrixson,2017-03-28,2018-03-28,5149.0,Renewed Flat,5149.0
SUB-00150,PYZZ3IS6,Blackzim,GTX Plus Basic,Markita Hansen,2017-03-11,2018-03-11,1043.0,Expansion,1399.97
SUB-00151,RV3LPOYP,Condax,GTX Basic,James Ascencio,2017-03-29,2018-03-28,437.0,Renewed Flat,437.0
SUB-00152,1HVNTEPV,Kinnamplus,GTXPro,Rosie Papadopoulos,2017-03-11,2018-03-11,4465.0,Renewed Flat,4465.0
SUB-00153,LC85AQ1I,Konex,GTX Basic,Vicki Laflamme,2017-03-18,2018-03-18,443.0,Renewed Flat,443.0
SUB-00154,EJMX0EIJ,Betatech,GTX Plus Pro,Darcel Schlecht,2017-03-20,2018-03-20,4278.0,Renewed Flat,4278.0
SUB-00155,VR9NYBOV,Kinnamplus,MG Special,Garret Kinder,2017-03-06,2018-03-06,41.0,Renewed Flat,41.0
SUB-00156,3U25FK08,Isdom,GTX Basic,Jonathan Berthelot,2017-03-28,2018-03-28,519.0,Expansion,675.74
SUB-00157,CRLK4Z1P,Kan-code,GTX Basic,Maureen Marcano,2017-03-04,2018-03-04,524.0,Contraction,329.87
SUB-00158,OGENAT0L,Singletechno,GTX Basic,Zane Levy,2017-03-27,2018-03-27,552.0,Renewed Flat,552.0
SUB-00159,F57JWIDF,Konmatfix,GTX Plus Basic,Gladys Colclough,2017-03-02,2018-03-02,970.0,Renewed Flat,970.0
SUB-00160,LF8JZ3Q5,Hatfan,GTX Plus Basic,Kary Hendrixson,2017-03-13,2018-03-13,1046.0,Churned,0.0
SUB-00161,MRGBSMQ5,Sunnamplex,GTX Plus Basic,Kary Hendrixson,2017-03-14,2018-03-14,988.0,Renewed Flat,988.0
SUB-00162,CBAV8ZJL,Codehow,GTX Basic,Lajuana Vencill,2017-03-22,2018-03-22,547.0,Renewed Flat,547.0
SUB-00163,6JXHEZYK,Isdom,MG Special,Versie Hillebrand,2017-03-31,2018-03-28,54.0,Renewed Flat,54.0
SUB-00164,WDHNR2EI,Silis,MG Special,Violet Mclelland,2017-03-20,2018-03-20,57.0,Renewed Flat,57.0
SUB-00165,4K750D6F,Yearin,MG Special,Violet Mclelland,2017-03-18,2018-03-18,55.0,Renewed Flat,55.0
SUB-00166,94GI0ZJ7,Stanredtax,GTX Plus Pro,Anna Snelling,2017-03-15,2018-03-15,5765.0,Renewed Flat,5765.0
SUB-00167,TODG6DEK,Bioplex,GTX Basic,Daniell Hammack,2017-03-16,2018-03-16,639.0,Churned,0.0
SUB-00168,G0ECB8FS,Labdrill,GTXPro,Kary Hendrixson,2017-03-15,2018-03-15,5100.0,Renewed Flat,5100.0
SUB-00169,96MZYUY0,Fasehatice,GTXPro,Vicki Laflamme,2017-03-07,2018-03-07,4906.0,Churned,0.0
SUB-00170,JZOKHHWN,Opentech,GTX Plus Basic,Donn Cantrell,2017-03-07,2018-03-07,1037.0,Renewed Flat,1037.0
SUB-00171,EH6I67I0,Plexzap,GTX Basic,James Ascencio,2017-03-15,2018-03-15,537.0,Renewed Flat,537.0
SUB-00172,JUUXF02Z,Hatfan,GTXPro,Kary Hendrixson,2017-03-09,2018-03-09,4694.0,Contraction,3993.69
SUB-00173,OT87JDWO,Konmatfix,GTX Basic,Lajuana Vencill,2017-03-24,2018-03-24,560.0,Contraction,491.63
SUB-00174,YHKT6YJ7,dambase,GTX Basic,Moses Frase,2017-03-13,2018-03-13,589.0,Expansion,677.29
SUB-00175,H78I3TAY,Mathtouch,GTX Basic,Reed Clapper,2017-03-14,2018-03-14,493.0,Renewed Flat,493.0
SUB-00176,1ROC43JK,Betatech,MG Special,Versie Hillebrand,2017-03-08,2018-03-08,50.0,Renewed Flat,50.0
SUB-00177,LPZLQL48,Y-corporation,GTX Basic,Vicki Laflamme,2017-03-28,2018-03-28,492.0,Renewed Flat,492.0
SUB-00178,3KR50X38,Konex,GTX Plus Basic,Corliss Cosme,2017-03-13,2018-03-13,1255.0,Renewed Flat,1255.0
SUB-00179,Q3WLHRE9,Statholdings,GTX Basic,Darcel Schlecht,2017-03-04,2018-03-04,463.0,Renewed Flat,463.0
SUB-00180,NQU62K1H,Zencorporation,GTX Basic,Donn Cantrell,2017-03-12,2018-03-12,605.0,Contraction,411.13
SUB-00181,NAQKOU0T,Fasehatice,GTX Plus Basic,Hayden Neloms,2017-03-20,2018-03-20,1315.0,Expansion,1626.0
SUB-00182,I3V3GUAI,Zumgoity,GTX Basic,Lajuana Vencill,2017-03-02,2018-03-02,559.0,Renewed Flat,559.0
SUB-00183,PN4VJDXY,Rundofase,GTX Basic,Moses Frase,2017-03-28,2018-03-28,557.0,Contraction,500.54
SUB-00184,K9D4DQ3R,Vehement Capital Partners,MG Special,Rosie Papadopoulos,2017-03-02,2018-03-02,48.0,Renewed Flat,48.0
SUB-00185,9X6V79KE,Isdom,GTX Plus Pro,Versie Hillebrand,2017-03-25,2018-03-25,6282.0,Expansion,7201.93
SUB-00186,W1KLFNE4,Isdom,MG Advanced,Anna Snelling,2017-03-02,2018-03-02,3246.0,Renewed Flat,3246.0
SUB-00187,GD2OCW12,Finhigh,GTX Basic,Darcel Schlecht,2017-03-14,2018-03-14,514.0,Contraction,397.71
SUB-00188,6XO4RYXK,Silis,GTX Plus Basic,Donn Cantrell,2017-03-15,2018-03-15,1132.0,Renewed Flat,1132.0
SUB-00189,18Y7GRPW,Silis,GTX Plus Pro,Garret Kinder,2017-03-21,2018-03-21,5918.0,Expansion,6611.29
SUB-00190,NLB4D5BQ,Gogozoom,MG Advanced,Versie Hillebrand,2017-03-24,2018-03-24,2955.0,Renewed Flat,2955.0
SUB-00191,FCFDJIEZ,Fasehatice,GTXPro,Vicki Laflamme,2017-03-21,2018-03-21,3742.0,Renewed Flat,3742.0
SUB-00192,YZGDW4G1,Initech,MG Special,Violet Mclelland,2017-03-14,2018-03-14,64.0,Churned,0.0
SUB-00193,LXXW3TRW,Scotfind,GTX Plus Basic,Elease Gluck,2017-03-18,2018-03-18,1164.0,Renewed Flat,1164.0
SUB-00194,8KJ3H262,Singletechno,MG Special,Elease Gluck,2017-03-07,2018-03-07,65.0,Contraction,40.56
SUB-00195,UYP3NNU6,Groovestreet,GTX Basic,Kami Bicknell,2017-03-16,2018-03-16,441.0,Renewed Flat,441.0
SUB-00196,MOPWEMB5,Hatfan,GTXPro,Vicki Laflamme,2017-03-16,2018-03-16,4907.0,Renewed Flat,4907.0
SUB-00197,3EL8D4WO,Codehow,MG Advanced,Darcel Schlecht,2017-03-25,2018-03-25,3269.0,Renewed Flat,3269.0
SUB-00198,VOAN1NXG,Kinnamplus,GTX Basic,Donn Cantrell,2017-03-12,2018-03-12,579.0,Renewed Flat,579.0
SUB-00199,FKAFO8O9,Xx-holding,MG Special,Kary Hendrixson,2017-03-31,2018-03-28,51.0,Renewed Flat,51.0
SUB-00200,1XBC7M9F,Faxquote,MG Special,Markita Hansen,2017-03-08,2018-03-08,64.0,Churned,0.0
SUB-00201,8IXBS90G,Donware,MG Special,Rosie Papadopoulos,2017-03-08,2018-03-08,60.0,Renewed Flat,60.0
SUB-00202,2X45BEOS,Ganjaflex,GTX Plus Basic,Cassey Cress,2017-03-27,2018-03-27,1186.0,Renewed Flat,1186.0
SUB-00203,EQ8X0QTL,Yearin,MG Advanced,Corliss Cosme,2017-03-09,2018-03-09,3577.0,Renewed Flat,3577.0
